,date,currency,offer(cash),bid(cash),offer(spot),bid(spot)
0,2020/12/30,AUD,21.05,21.83,21.34,21.54
1,2020/12/29,AUD,21.26,22.04,21.55,21.75
2,2020/12/28,AUD,21.32,22.1,21.61,21.81
3,2020/12/25,AUD,21.3,22.08,21.59,21.79
4,2020/12/24,AUD,21.25,22.03,21.54,21.74
5,2020/12/23,AUD,21.2,21.98,21.49,21.69
6,2020/12/22,AUD,21.13,21.91,21.42,21.62
7,2020/12/21,AUD,21.04,21.82,21.33,21.53
8,2020/12/18,AUD,21.23,22.01,21.52,21.72
9,2020/12/17,AUD,21.29,22.07,21.58,21.78
10,2020/12/16,AUD,21.13,21.91,21.42,21.62
11,2020/12/15,AUD,20.99,21.77,21.28,21.48
12,2020/12/14,AUD,21.1,21.88,21.39,21.59
13,2020/12/11,AUD,21.07,21.85,21.36,21.56
14,2020/12/10,AUD,20.88,21.66,21.17,21.37
15,2020/12/09,AUD,20.83,21.61,21.12,21.32
16,2020/12/08,AUD,20.73,21.51,21.02,21.22
17,2020/12/07,AUD,20.77,21.55,21.06,21.26
18,2020/12/04,AUD,20.77,21.55,21.06,21.26
19,2020/12/03,AUD,20.91,21.69,21.2,21.4
20,2020/12/02,AUD,20.83,21.61,21.12,21.32
21,2020/12/01,AUD,20.81,21.59,21.1,21.3
22,2020/11/30,AUD,20.88,21.66,21.17,21.37
23,2020/11/27,AUD,20.84,21.62,21.13,21.33
24,2020/11/26,AUD,20.81,21.59,21.1,21.3
25,2020/11/25,AUD,20.78,21.56,21.07,21.27
26,2020/11/24,AUD,20.72,21.5,21.01,21.21
27,2020/11/23,AUD,20.66,21.44,20.95,21.15
28,2020/11/20,AUD,20.58,21.36,20.87,21.07
29,2020/11/19,AUD,20.62,21.4,20.91,21.11
30,2020/11/18,AUD,20.6,21.38,20.89,21.09
31,2020/11/17,AUD,20.66,21.44,20.95,21.15
32,2020/11/16,AUD,20.61,21.39,20.9,21.1
33,2020/11/13,AUD,20.48,21.26,20.77,20.97
34,2020/11/12,AUD,20.53,21.31,20.82,21.02
35,2020/11/11,AUD,20.61,21.39,20.9,21.1
36,2020/11/10,AUD,20.6,21.38,20.89,21.09
37,2020/11/09,AUD,20.6,21.38,20.89,21.09
38,2020/11/06,AUD,20.59,21.37,20.88,21.08
39,2020/11/05,AUD,20.34,21.12,20.63,20.83
40,2020/11/04,AUD,20.14,20.92,20.43,20.63
41,2020/11/03,AUD,20.02,20.8,20.31,20.51
42,2020/11/02,AUD,19.84,20.62,20.13,20.33
43,2020/10/30,AUD,19.91,20.69,20.2,20.4
44,2020/10/29,AUD,20.0,20.78,20.29,20.49
45,2020/10/28,AUD,20.2,20.98,20.49,20.69
46,2020/10/27,AUD,20.16,20.94,20.45,20.65
47,2020/10/26,AUD,20.12,20.9,20.41,20.61
48,2020/10/23,AUD,20.22,21.0,20.51,20.71
49,2020/10/22,AUD,20.14,20.92,20.43,20.63
50,2020/10/21,AUD,20.05,20.83,20.34,20.54
51,2020/10/20,AUD,19.96,20.74,20.25,20.45
52,2020/10/19,AUD,20.13,20.91,20.42,20.62
53,2020/10/16,AUD,20.12,20.9,20.41,20.61
54,2020/10/15,AUD,20.15,20.93,20.44,20.64
55,2020/10/14,AUD,20.35,21.13,20.64,20.84
56,2020/10/13,AUD,20.35,21.13,20.64,20.84
57,2020/10/12,AUD,20.48,21.26,20.77,20.97
58,2020/10/08,AUD,20.33,21.11,20.62,20.82
59,2020/10/07,AUD,20.27,21.05,20.56,20.76
60,2020/10/06,AUD,20.32,21.1,20.59,20.82
61,2020/10/05,AUD,20.41,21.19,20.68,20.91
62,2020/09/30,AUD,20.33,21.11,20.6,20.83
63,2020/09/29,AUD,20.28,21.06,20.55,20.78
64,2020/09/28,AUD,20.16,20.94,20.43,20.66
65,2020/09/26,AUD,20.16,20.94,20.43,20.66
66,2020/09/25,AUD,20.31,21.09,20.58,20.81
67,2020/09/24,AUD,20.25,21.03,20.52,20.75
68,2020/09/23,AUD,20.39,21.17,20.66,20.89
69,2020/09/22,AUD,20.58,21.36,20.85,21.08
70,2020/09/21,AUD,20.83,21.61,21.1,21.33
71,2020/09/18,AUD,20.92,21.7,21.19,21.42
72,2020/09/17,AUD,20.95,21.73,21.22,21.45
73,2020/09/16,AUD,21.06,21.84,21.33,21.56
74,2020/09/15,AUD,21.08,21.86,21.35,21.58
75,2020/09/14,AUD,21.06,21.84,21.33,21.56
76,2020/09/11,AUD,21.09,21.87,21.36,21.59
77,2020/09/10,AUD,21.04,21.82,21.31,21.54
78,2020/09/09,AUD,20.97,21.75,21.24,21.47
79,2020/09/08,AUD,21.11,21.89,21.38,21.61
80,2020/09/07,AUD,21.07,21.85,21.34,21.57
81,2020/09/04,AUD,21.1,21.88,21.37,21.6
82,2020/09/03,AUD,21.18,21.96,21.45,21.68
83,2020/09/02,AUD,21.27,22.05,21.54,21.77
84,2020/09/01,AUD,21.44,22.22,21.71,21.94
85,2020/08/31,AUD,21.29,22.07,21.56,21.79
